Node,Azi_[RAD],Ele_[RAD]
"[48.20120226438391, 207.0892101558958, 75.94131667269481]",-0.0683913329166616,-0.0085873193136454
"[98.08431347564077, 210.50598567561528, 75.9706583363474]",-0.0683913329166616,-0.0085873193136454
"[147.96742468689763, 213.92276119533472, 76.0]",-0.0683913329166616,-0.0085873193136454
"[197.85053589815448, 217.33953671505415, 76.0293416636526]",-0.0683913329166616,-0.0085873193136454
"[247.73364710941135, 220.75631223477362, 76.05868332730519]",-0.0683913329166616,-0.0085873193136454
"[-40.89425216512112, 192.94707453216498, 20.94131667269481]",-0.0683913329166616,-0.0085873193136454
"[8.988859046135744, 196.36385005188444, 20.970658336347405]",-0.0683913329166616,-0.0085873193136454
"[58.871970257392604, 199.78062557160388, 21.0]",-0.0683913329166616,-0.0085873193136454
"[108.75508146864946, 203.19740109132331, 21.029341663652595]",-0.0683913329166616,-0.0085873193136454
"[158.63819267990633, 206.61417661104278, 21.05868332730519]",-0.0683913329166616,-0.0085873193136454
"[-16.852621604778534, 55.76835898197456, 40.94131667269481]",-0.0683913329166616,-0.0085873193136454
"[33.030489606478326, 59.18513450169401, 40.970658336347405]",-0.0683913329166616,-0.0085873193136454
"[82.91360081773519, 62.60191002141346, 41.0]",-0.0683913329166616,-0.0085873193136454
"[132.79671202899203, 66.01868554113291, 41.029341663652595]",-0.0683913329166616,-0.0085873193136454
"[182.6798232402489, 69.43546106085236, 41.05868332730519]",-0.0683913329166616,-0.0085873193136454
"[37.59460054658527, 87.58816413536934, 62.94131667269481]",-0.0683913329166616,-0.0085873193136454
"[87.47771175784213, 91.00493965508879, 62.970658336347405]",-0.0683913329166616,-0.0085873193136454
"[137.360822969099, 94.42171517480824, 63.0]",-0.0683913329166616,-0.0085873193136454
"[187.24393418035584, 97.83849069452769, 63.029341663652595]",-0.0683913329166616,-0.0085873193136454
"[237.1270453916127, 101.25526621424714, 63.05868332730519]",-0.0683913329166616,-0.0085873193136454
"[-23.92368941664384, 51.525718294855466, 36.94131667269481]",-0.0683913329166616,-0.0085873193136454
"[25.95942179461302, 54.94249381457492, 36.970658336347405]",-0.0683913329166616,-0.0085873193136454
"[75.84253300586988, 58.35926933429437, 37.0]",-0.0683913329166616,-0.0085873193136454
"[125.72564421712674, 61.77604485401382, 37.029341663652595]",-0.0683913329166616,-0.0085873193136454
"[175.6087554283836, 65.19282037373327, 37.05868332730519]",-0.0683913329166616,-0.0085873193136454
"[-6.953126668167016, 38.797796233497735, 40.94131667269481]",-0.0683913329166616,-0.0085873193136454
"[42.929984543089844, 42.214571753217186, 40.970658336347405]",-0.0683913329166616,-0.0085873193136454
"[92.8130957543467, 45.63134727293664, 41.0]",-0.0683913329166616,-0.0085873193136454
"[142.69620696560355, 49.04812279265609, 41.029341663652595]",-0.0683913329166616,-0.0085873193136454
"[192.57931817686043, 52.46489831237554, 41.05868332730519]",-0.0683913329166616,-0.0085873193136454
"[33.35195985946618, 151.22777444215868, 67.94131667269481]",-0.0683913329166616,-0.0085873193136454
"[83.23507107072304, 154.64454996187814, 67.9706583363474]",-0.0683913329166616,-0.0085873193136454
"[133.1181822819799, 158.06132548159758, 68.0]",-0.0683913329166616,-0.0085873193136454
"[183.00129349323674, 161.47810100131701, 68.0293416636526]",-0.0683913329166616,-0.0085873193136454
"[232.88440470449362, 164.89487652103648, 68.05868332730519]",-0.0683913329166616,-0.0085873193136454
"[-5.538913105793682, 123.65060997588321, 43.94131667269481]",-0.0683913329166616,-0.0085873193136454
"[44.34419810546318, 127.06738549560266, 43.970658336347405]",-0.0683913329166616,-0.0085873193136454
"[94.22730931672004, 130.48416101532212, 44.0]",-0.0683913329166616,-0.0085873193136454
"[144.11042052797688, 133.90093653504155, 44.029341663652595]",-0.0683913329166616,-0.0085873193136454
"[193.99353173923376, 137.31771205476102, 44.05868332730519]",-0.0683913329166616,-0.0085873193136454
"[-26.04500976020384, 45.16175726417637, 31.94131667269481]",-0.0683913329166616,-0.0085873193136454
"[23.83810145105302, 48.578532783895824, 31.970658336347405]",-0.0683913329166616,-0.0085873193136454
"[73.72121266230988, 51.995308303615275, 32.0]",-0.0683913329166616,-0.0085873193136454
"[123.60432387356674, 55.412083823334726, 32.029341663652595]",-0.0683913329166616,-0.0085873193136454
"[173.4874350848236, 58.82885934305418, 32.05868332730519]",-0.0683913329166616,-0.0085873193136454
"[-35.23739791562869, 273.5572475874314, 32.94131667269481]",-0.0683913329166616,-0.0085873193136454
"[14.64571329562817, 276.9740231071508, 32.970658336347405]",-0.0683913329166616,-0.0085873193136454
"[64.52882450688503, 280.39079862687026, 33.0]",-0.0683913329166616,-0.0085873193136454
"[114.41193571814189, 283.80757414658973, 33.029341663652595]",-0.0683913329166616,-0.0085873193136454
"[164.29504692939875, 287.22434966630914, 33.05868332730519]",-0.0683913329166616,-0.0085873193136454
"[39.0088141089586, 165.36991006588974, 73.94131667269481]",-0.0683913329166616,-0.0085873193136454
"[88.89192532021546, 168.7866855856092, 73.9706583363474]",-0.0683913329166616,-0.0085873193136454
"[138.77503653147232, 172.20346110532864, 74.0]",-0.0683913329166616,-0.0085873193136454
"[188.65814774272917, 175.62023662504808, 74.0293416636526]",-0.0683913329166616,-0.0085873193136454
"[238.54125895398604, 179.03701214476754, 74.05868332730519]",-0.0683913329166616,-0.0085873193136454
"[-6.246019886980349, 219.11002543606733, 52.94131667269481]",-0.0683913329166616,-0.0085873193136454
"[43.63709132427651, 222.5268009557868, 52.970658336347405]",-0.0683913329166616,-0.0085873193136454
"[93.52020253553337, 225.94357647550623, 53.0]",-0.0683913329166616,-0.0085873193136454
"[143.40331374679022, 229.36035199522567, 53.029341663652595]",-0.0683913329166616,-0.0085873193136454
"[193.2864249580471, 232.77712751494514, 53.05868332730519]",-0.0683913329166616,-0.0085873193136454
"[-9.074447011726562, 93.24501838486177, 41.94131667269481]",-0.0683913329166616,-0.0085873193136454
"[40.8086641995303, 96.66179390458122, 41.970658336347405]",-0.0683913329166616,-0.0085873193136454
"[90.69177541078716, 100.07856942430067, 42.0]",-0.0683913329166616,-0.0085873193136454
"[140.574886622044, 103.49534494402012, 42.029341663652595]",-0.0683913329166616,-0.0085873193136454
"[190.45799783330088, 106.91212046373957, 42.05868332730519]",-0.0683913329166616,-0.0085873193136454
"[34.76617342183951, 159.71305581639731, 70.94131667269481]",-0.0683913329166616,-0.0085873193136454
"[84.64928463309637, 163.12983133611678, 70.9706583363474]",-0.0683913329166616,-0.0085873193136454
"[134.53239584435323, 166.54660685583622, 71.0]",-0.0683913329166616,-0.0085873193136454
"[184.41550705561008, 169.96338237555565, 71.0293416636526]",-0.0683913329166616,-0.0085873193136454
"[234.29861826686695, 173.38015789527512, 71.05868332730519]",-0.0683913329166616,-0.0085873193136454
"[-30.9947572285096, 215.57449153013445, 34.94131667269481]",-0.0683913329166616,-0.0085873193136454
"[18.88835398274726, 218.99126704985392, 34.970658336347405]",-0.0683913329166616,-0.0085873193136454
"[68.77146519400412, 222.40804256957335, 35.0]",-0.0683913329166616,-0.0085873193136454
"[118.65457640526098, 225.8248180892928, 35.029341663652595]",-0.0683913329166616,-0.0085873193136454
"[168.53768761651784, 229.24159360901226, 35.05868332730519]",-0.0683913329166616,-0.0085873193136454
"[-34.53029113444248, 255.87957805776765, 22.94131667269481]",-0.0683913329166616,-0.0085873193136454
"[15.352820076814382, 259.2963535774871, 22.970658336347405]",-0.0683913329166616,-0.0085873193136454
"[65.23593128807124, 262.71312909720655, 23.0]",-0.0683913329166616,-0.0085873193136454
"[115.1190424993281, 266.129904616926, 23.029341663652595]",-0.0683913329166616,-0.0085873193136454
"[165.00215371058496, 269.5466801366454, 23.05868332730519]",-0.0683913329166616,-0.0085873193136454
"[59.51491076336876, 201.4323559064034, 80.94131667269481]",-0.0683913329166616,-0.0085873193136454
"[109.39802197462562, 204.84913142612285, 80.9706583363474]",-0.0683913329166616,-0.0085873193136454
"[159.28113318588248, 208.2659069458423, 81.0]",-0.0683913329166616,-0.0085873193136454
"[209.16424439713933, 211.68268246556173, 81.0293416636526]",-0.0683913329166616,-0.0085873193136454
"[259.0473556083962, 215.0994579852812, 81.05868332730519]",-0.0683913329166616,-0.0085873193136454
"[26.98799882878754, 178.80493890843414, 71.94131667269481]",-0.0683913329166616,-0.0085873193136454
"[76.8711100400444, 182.2217144281536, 71.9706583363474]",-0.0683913329166616,-0.0085873193136454
"[126.75422125130126, 185.63848994787304, 72.0]",-0.0683913329166616,-0.0085873193136454
"[176.6373324625581, 189.05526546759248, 72.0293416636526]",-0.0683913329166616,-0.0085873193136454
"[226.52044367381498, 192.47204098731194, 72.05868332730519]",-0.0683913329166616,-0.0085873193136454
"[46.07988192082436, 151.22777444215868, 70.94131667269481]",-0.0683913329166616,-0.0085873193136454
"[95.96299313208122, 154.64454996187814, 70.9706583363474]",-0.0683913329166616,-0.0085873193136454
"[145.84610434333808, 158.06132548159758, 71.0]",-0.0683913329166616,-0.0085873193136454
"[195.72921555459493, 161.47810100131701, 71.0293416636526]",-0.0683913329166616,-0.0085873193136454
"[245.6123267658518, 164.89487652103648, 71.05868332730519]",-0.0683913329166616,-0.0085873193136454
"[12.138756423869808, 180.92625925199368, 55.94131667269481]",-0.0683913329166616,-0.0085873193136454
"[62.02186763512667, 184.34303477171315, 55.970658336347405]",-0.0683913329166616,-0.0085873193136454
"[111.90497884638353, 187.7598102914326, 56.0]",-0.0683913329166616,-0.0085873193136454
"[161.78809005764037, 191.17658581115202, 56.029341663652595]",-0.0683913329166616,-0.0085873193136454
"[211.67120126889725, 194.5933613308715, 56.05868332730519]",-0.0683913329166616,-0.0085873193136454
"[-4.124699543420803, 222.64555934199976, 50.94131667269481]",-0.0683913329166616,-0.0085873193136454
"[45.75841166783606, 226.06233486171922, 50.970658336347405]",-0.0683913329166616,-0.0085873193136454
"[95.64152287909292, 229.47911038143866, 51.0]",-0.0683913329166616,-0.0085873193136454
"[145.52463409034976, 232.8958859011581, 51.029341663652595]",-0.0683913329166616,-0.0085873193136454
"[195.40774530160664, 236.31266142087756, 51.05868332730519]",-0.0683913329166616,-0.0085873193136454
"[44.66566835845103, 155.47041512927777, 75.94131667269481]",-0.0683913329166616,-0.0085873193136454
"[94.54877956970789, 158.88719064899723, 75.9706583363474]",-0.0683913329166616,-0.0085873193136454
"[144.43189078096475, 162.30396616871667, 76.0]",-0.0683913329166616,-0.0085873193136454
"[194.3150019922216, 165.7207416884361, 76.0293416636526]",-0.0683913329166616,-0.0085873193136454
"[244.19811320347847, 169.13751720815557, 76.05868332730519]",-0.0683913329166616,-0.0085873193136454
"[36.88749376539906, 166.07701684707618, 69.94131667269481]",-0.0683913329166616,-0.0085873193136454
"[86.77060497665592, 169.49379236679565, 69.9706583363474]",-0.0683913329166616,-0.0085873193136454
"[136.65371618791278, 172.91056788651508, 70.0]",-0.0683913329166616,-0.0085873193136454
"[186.53682739916962, 176.32734340623452, 70.0293416636526]",-0.0683913329166616,-0.0085873193136454
"[236.4199386104265, 179.74411892595398, 70.05868332730519]",-0.0683913329166616,-0.0085873193136454
"[3.6534750496316235, 87.58816413536934, 51.94131667269481]",-0.0683913329166616,-0.0085873193136454
"[53.536586260888484, 91.00493965508879, 51.970658336347405]",-0.0683913329166616,-0.0085873193136454
"[103.41969747214534, 94.42171517480824, 52.0]",-0.0683913329166616,-0.0085873193136454
"[153.3028086834022, 97.83849069452769, 52.029341663652595]",-0.0683913329166616,-0.0085873193136454
"[203.18591989465907, 101.25526621424714, 52.05868332730519]",-0.0683913329166616,-0.0085873193136454
"[-30.28765044732293, 161.1272693787702, 30.94131667269481]",-0.0683913329166616,-0.0085873193136454
"[19.59546076393393, 164.54404489848966, 30.970658336347405]",-0.0683913329166616,-0.0085873193136454
"[69.47857197519079, 167.9608204182091, 31.0]",-0.0683913329166616,-0.0085873193136454
"[119.36168318644765, 171.37759593792853, 31.029341663652595]",-0.0683913329166616,-0.0085873193136454
"[169.2447943977045, 174.794371457648, 31.05868332730519]",-0.0683913329166616,-0.0085873193136454
"[40.42302767133194, 79.10288276113093, 67.94131667269481]",-0.0683913329166616,-0.0085873193136454
"[90.3061388825888, 82.51965828085038, 67.9706583363474]",-0.0683913329166616,-0.0085873193136454
"[140.18925009384566, 85.93643380056983, 68.0]",-0.0683913329166616,-0.0085873193136454
